question,type,intent
小绿锁的提示信息是否足够清晰？,train,Knowledge Base
手机端购买的三步战法功能为何在电脑版无法同步使用？,train,Knowledge Base
如何解决三步战法界面显示异常（如顶部菜单无法下拉）？,train,Knowledge Base
为何开通三步战法后仍只能查看5只股票？,train,Knowledge Base
多空资金选股是否需要考虑流通市值？,train,Knowledge Base
股票涨停但主力资金显示流出，这种现象是否合理？,train,Knowledge Base
小绿锁和波段决策有冲突怎么办,train,Knowledge Base
为何部分股票（如300123）在三步战法中无信号但实际股价上涨？,train,Knowledge Base
北交所股票为何没有多空资金数据？,train,Knowledge Base
多空资金流入但股价下跌如何解释？,train,Knowledge Base
三步战法的成功率如何？是否有数据支持？,train,Knowledge Base
活跃度指标高位但主力资金流出，如何判断风险？,train,Knowledge Base
个股成交量放大但主力资金显示流出，这种现象是否正常？,train,Knowledge Base
股价活跃度、成本均线的优势各是什么,train,Knowledge Base
为什么北交所股票不显示敢死队资金数据？,train,Knowledge Base
同一股票在指南针显示主力资金流入，而Level-2数据却显示流出，如何解释？,train,Knowledge Base
部分股票（如688开头）不显示波段决策信号的原因？,train,Knowledge Base
切换股票时三步战法界面内容不更新怎么办？,train,Knowledge Base
为什么盘中无法实时查看主力资金动态？,train,Knowledge Base
点击三步战法后其他指标（如布林线）消失，如何恢复？,train,Knowledge Base
分时图中主力资金指标不更新，如何解决？,train,Knowledge Base
多空资金比例怎么算的,train,Knowledge Base
私募英雄榜怎么用？,train,Knowledge Base
电脑版软件无法显示波段决策信号，如何解决？,train,Knowledge Base
为什么主力资金显示流入但股价下跌？,train,Knowledge Base
小绿锁的算法是否开源或可解释？,train,Knowledge Base
电脑版波段决策信号与手机版不同步的原因？,train,Knowledge Base
为什么多空资金选出的股票次日表现不佳？,train,Knowledge Base
为什么部分股票波段决策信号与股价走势明显背离？,train,Knowledge Base
擒龙版有哪些主要功能？,train,Knowledge Base
为什么新股上市初期没有主力资金数据？,train,Knowledge Base
小绿锁在早盘和尾盘出现的操作差异？,train,Knowledge Base
主力资金和敢死队资金哪个对股价影响更大？,train,Knowledge Base
小绿锁是否应增加二次确认机制？,train,Knowledge Base
当财务指标（如现金流）与波段决策矛盾时如何选择？,train,Knowledge Base
为什么盘后多空资金数据与盘中显示不同？,train,Knowledge Base
个股连续多日小单净流入能否视为散户资金主导行情？,train,Knowledge Base
出现绿锁代表什么？是否必须卖出？,train,Knowledge Base
三步战法的信号是否滞后？如何避免马后炮问题？,train,Knowledge Base
小绿锁出现后一定要卖出吗,train,Knowledge Base
手机版波段决策信号与电脑版显示不一致怎么办？,train,Knowledge Base
主力资金流入百分比的计算基准是什么（流通市值/总市值）？,train,Knowledge Base
为何三步战法界面不显示K线图中的红绿柱或均线？,train,Knowledge Base
指南针与其他平台的主力资金统计差异较大的原因是什么？,train,Knowledge Base
升级软件后波段决策功能消失，如何恢复？,train,Knowledge Base
敢死队资金短期大幅波动对股价的影响如何分析？,train,Knowledge Base
私享家的主要功能有哪些？,train,Knowledge Base
筹码分布是什么？,train,Knowledge Base
什么是波段决策,train,Knowledge Base
小绿锁导致频繁卖飞牛股如何解决？,train,Knowledge Base
波段决策功能突然无法使用（如显示“继续学习），如何解决？,train,Knowledge Base
大宗交易平台显示机构买入但主力资金未体现，如何解释？,train,Knowledge Base
软件升级后主力资金历史数据丢失，如何恢复？,train,Knowledge Base
出现绿锁时是否需要结合主力资金流出情况判断？,train,Knowledge Base
小绿锁的误报率降低方案？,train,Knowledge Base
活跃度指标高位与主力资金流出同时出现时的风险评估？,train,Knowledge Base
主力大单显示流出但主力资金整体净流入，如何解释？,train,Knowledge Base
怎么用三步战法判断股票潜力,train,Knowledge Base
多空资金统计是否存在未来函数？,train,Knowledge Base
在弱势行情中，主力资金小幅流入是否具有参考价值？,train,Knowledge Base
波段决策在震荡市频繁发出错误信号，如何优化？,train,Knowledge Base
不同周期（1日/3日/13日）主力资金数据出现矛盾时的处理方法？,train,Knowledge Base
小绿锁与期权对冲策略的结合？,train,Knowledge Base
为何股票符合三步战法但实际走势不符合预期？,train,Knowledge Base
小绿锁与主力对倒行为的识别问题？,train,Knowledge Base
为什么ST股票不显示主力资金数据？,train,Knowledge Base
小绿锁与其它软件卖出信号的优劣对比？,train,Knowledge Base
如何取消三步战法界面下的自选股显示？,train,Knowledge Base
能否自定义小绿锁的触发条件？,train,Knowledge Base
主力资金、敢死队资金、多空资金的时间周期应设置为几日？,train,Knowledge Base
波段决策K线图中红绿柱状图的实心与空心有何区别？,train,Knowledge Base
波段决策在程序化交易中的接口支持情况？,train,Knowledge Base
大宗交易数据如何影响多空资金统计？,train,Knowledge Base
多空资金显示流入但其他软件显示流出是什么原因？,train,Knowledge Base
波段决策的准确性如何？是否会出现延迟或撤回信号？,train,Knowledge Base
如何结合季度财报发布时间窗口优化主力资金跟踪策略？,train,Knowledge Base
为什么股票涨停但多空资金显示流出？,train,Knowledge Base
如何恢复被误删的主力资金指标？,train,Knowledge Base
软件中的模拟炒股功能如何操作？,train,Knowledge Base
三步战法是否存在“虚假信号问题？如何验证？,train,Knowledge Base
融资融券交易是否计入多空资金？,train,Knowledge Base
当筹码集中度与波段决策信号矛盾时如何选择？,train,Knowledge Base
如何理解小绿锁的'回落止盈'机制？,train,Knowledge Base
为什么多空资金显示红色但实际资金流出？,train,Knowledge Base
敢死队资金设置为13日累计的决策依据是什么？,train,Knowledge Base
为什么多空资金参数设置后无法保存？,train,Knowledge Base
波段决策中的“减号是否必须配合绿锁使用？,train,Knowledge Base
小绿锁的功能设计是否符合用户需求？,train,Knowledge Base
如何设置主力资金流入的语音提醒功能？,train,Knowledge Base
如何避免过度依赖小绿锁信号？,train,Knowledge Base
多空资金是否包含大宗交易数据？,train,Knowledge Base
为什么电脑和手机端显示的多空资金数据不一致？,train,Knowledge Base
主力资金流入但股价下跌，如何解释这种现象？,train,Knowledge Base
为什么大宗交易频繁的股票主力资金显示却不明显？,train,Knowledge Base
小绿锁的提示精度能否按个股调整？,train,Knowledge Base
集合竞价的红绿柱子代表什么意思？,train,Knowledge Base
小绿锁能否增加分时图级别的提示？,train,Knowledge Base
小绿锁在T+1制度下的实际应用难点？,train,Knowledge Base
小绿锁是否基于技术面或资金面分析？在股价低位和高位有什么差异？,train,Knowledge Base
总资金仓位指标如何解读？,train,Knowledge Base
主力资金流入但换手率极低，这种现象说明什么？,train,Knowledge Base
多空资金是否等于主力资金与敢死队资金之和？,train,Knowledge Base
如何将敢死队资金的柱状图调整为与主力资金相同的面积图？,train,Knowledge Base
当波段决策与价值决策（如估值空间）冲突时如何选择？,train,Knowledge Base
私享家版有哪些主要功能？,train,Knowledge Base
在涨停板股票中，如何判断主力资金是否真正介入？,train,Knowledge Base
小绿锁的视觉提示是否足够醒目？,train,Knowledge Base
波段决策中的“橙色持仓提示如何理解？,train,Knowledge Base
小绿锁的卖出建议是否应动态调整？,train,Knowledge Base
单把黄锁代表什么信号？,train,Knowledge Base
手机版与电脑版小绿锁显示不一致的原因？,train,Knowledge Base
敢死队资金分析应该使用几日周期？,train,Knowledge Base
波段决策信号在复盘时消失或变化，是否正常？,train,Knowledge Base
小绿锁提示后是否应结合仓位管理？,train,Knowledge Base
主力资金、波段决策的含义是什么？,train,Knowledge Base
小绿锁出现后如何避免卖飞强势股？,train,Knowledge Base
多空资金显示突然消失如何解决？,train,Knowledge Base
分时图多空资金与日线数据矛盾时如何判断？,train,Knowledge Base
为什么同一股票在不同软件中主力资金流向显示相反？,train,Knowledge Base
小绿锁是否考虑市场整体趋势？,train,Knowledge Base
小绿锁是否会因数据延迟出现误差？,train,Knowledge Base
分时图多空资金显示异常如何处理？,train,Knowledge Base
什么是波段决策？,train,Knowledge Base
手机版多空资金界面布局调整方法？,train,Knowledge Base
如何在电脑版安装或找到三步战法？,train,Knowledge Base
小绿锁出现但均线趋势向上是否有效？,train,Knowledge Base
当主力资金流出但波段决策提示持仓时如何操作？,train,Knowledge Base
三步战法界面如何显示成本均线？,train,Knowledge Base
主力资金的统计是否包含大宗交易和暗盘资金？,train,Knowledge Base
波段决策是否支持设置止损/止盈条件？,train,Knowledge Base
为什么大宗交易数据与多空资金统计存在差异？,train,Knowledge Base
波段决策中的“资金翻红轮动翻蓝如何应对？,train,Knowledge Base
波段决策中的“问号标识代表什么？,train,Knowledge Base
黄金坑指标参数设置建议？,train,Knowledge Base
软件升级后主力资金指标显示异常（如跳回默认值），如何解决？,train,Knowledge Base
波段决策+-代表什么？,train,Knowledge Base
波段决策信号在盘口异动（如大单压盘）时的可靠性？,train,Knowledge Base
波段决策中的“绿色柱线是否代表风险？,train,Knowledge Base
波段决策是否适用于ETF基金或北交所股票？,train,Knowledge Base
波段决策能否设置自动弹出盘中信号提醒？,train,Knowledge Base
三步战法是否支持行业轮动或战区轮动分析？,train,Knowledge Base
波段决策是否考虑市场情绪或消息面因素？,train,Knowledge Base
多空资金选股的最佳时间窗口是多久？,train,Knowledge Base
波段决策的加减号在部分股票中不显示，如何解决？,train,Knowledge Base
三步战法的“资金战法默认参数是否需要调整？,train,Knowledge Base
主力资金和敢死队资金同时翻红是否必须满足才能买入？,train,Knowledge Base
机构仓位指标与主力资金指标的关系是什么？,train,Knowledge Base
如何对比不同时间段主力资金流入的持续性？,train,Knowledge Base
筹码分布和估值空间的含义是什么,train,Knowledge Base
波段决策是否包含未来函数？,train,Knowledge Base
小绿锁信号是否分长线和短线？,train,Knowledge Base
波段决策在集合竞价阶段是否有效？,train,Knowledge Base
波段决策是否支持多周期（如60分钟）同步分析？,train,Knowledge Base
波段决策在顶部区域持续提示持仓，如何解释？,train,Knowledge Base
三步战法中“股价活跃度指标的具体含义和使用方法？,train,Knowledge Base
如何在电脑版软件中设置多窗口同时监控多只股票的主力资金？,train,Knowledge Base
波段决策信号在K线缩放后变形，如何调整？,train,Knowledge Base
小绿锁的进阶使用技巧有哪些？,train,Knowledge Base
小绿锁与人工分析的决策权重如何分配？,train,Knowledge Base
小绿锁提示后无法及时卖出的解决方案？,train,Knowledge Base
电脑版软件中主力资金和敢死队资金指标突然消失，如何恢复？,train,Knowledge Base
主力资金单日大幅流出但周线仍显示净流入，如何判断？,train,Knowledge Base
三步战法是否支持模拟炒股功能？,train,Knowledge Base
多空资金百分比达到多少才算有效信号？,train,Knowledge Base
手机版如何调出三步战法功能？,train,Knowledge Base
多空资金数据延迟如何处理？,train,Knowledge Base
如何验证波段决策的历史回测准确率？,train,Knowledge Base
敢死队资金是否属于主力资金的一部分？,train,Knowledge Base
波段决策K线颜色异常（如上涨显示绿色），如何解决？,train,Knowledge Base
敢死队资金的操作特点是什么？,train,Knowledge Base
主力资金指标中'异动'的具体判断标准是什么？,train,Knowledge Base
融资融券数据与主力资金流向出现背离时的解读方法？,train,Knowledge Base
三步战法中如何设置均线（如五日均线）？,train,Knowledge Base
波段决策中的“红空心柱与“红实心柱区别？,train,Knowledge Base
多空资金设置为22日的依据是什么？,train,Knowledge Base
小绿锁在不同板块中的表现差异？,train,Knowledge Base
绿锁和小绿锁的区别是什么？,train,Knowledge Base
波段决策信号在除权除息后是否自动复权？,train,Knowledge Base
如何批量导出多只股票的主力资金流入数据？,train,Knowledge Base
多空资金连续流入但股价不涨意味着什么？,train,Knowledge Base
小绿锁与财务造假提示同时出现如何操作？,train,Knowledge Base
多空资金选股需要结合哪些其他指标？,train,Knowledge Base
电脑版多空资金指标丢失如何解决？,train,Knowledge Base
如何在三步战法界面增加附图数量（如成交量、活跃度等）？,train,Knowledge Base
小绿锁的推送通知功能如何开启？,train,Knowledge Base
如何将多空资金、主力资金、敢死队资金设置为默认显示？,train,Knowledge Base
多空资金是否包括散户资金？,train,Knowledge Base
如何在K线图中同时显示主力资金、敢死队资金和多空资金的面积图？,train,Knowledge Base
区间多空资金统计功能如何调出？,train,Knowledge Base
如何设置不同颜色区分主力资金的流入强度？,train,Knowledge Base
小绿锁提示卖出后股价横盘如何处理？,train,Knowledge Base
多空资金是统计主力资金和敢死队资金之和吗？,train,Knowledge Base
为什么不同软件的多空资金数据差异巨大？,train,Knowledge Base
多空资金不同周期设置对分析结果的影响？,train,Knowledge Base
波段决策是基于哪些数据计算的？,train,Knowledge Base
三步战法的三步分别是什么？,train,Knowledge Base
波段决策在ST股中的使用限制？,train,Knowledge Base
三步战法的多空资金参数需要调整为几日累计？,train,Knowledge Base
如何优化多空资金的灵敏度设置？,train,Knowledge Base
三步战法和资金战法的区别是什么？,train,Knowledge Base
不同时间周期的多空资金指标如何配合使用？,train,Knowledge Base
波段决策中的“成本均线参数设置建议？,train,Knowledge Base
三步战法具体如何使用？,train,Knowledge Base
小绿锁在量化高频交易中的潜在价值？,train,Knowledge Base
波段决策是否支持自定义参数修改？,train,Knowledge Base
小绿锁能否增加止损价联动功能？,train,Knowledge Base
当黄金坑指标与波段决策开仓信号矛盾时如何选择？,train,Knowledge Base
小绿锁提示功能突然消失如何恢复？,train,Knowledge Base
如何通过选股器筛选出连续5日主力资金净流入的股票？,train,Knowledge Base
主力资金3日累计和13日累计在决策中有何区别？,train,Knowledge Base
小绿锁在牛市和熊市中的胜率对比？,train,Knowledge Base
波段决策中的“风火轮和“抄底标志如何识别？,train,Knowledge Base
主力资金、敢死队资金、多空资金具体指哪些资金？,train,Knowledge Base
绿锁出现时成交量萎缩代表什么？,train,Knowledge Base
如何导出某只股票的历史主力资金流入数据？,train,Knowledge Base
如何将多空资金显示方式从柱状图改为面积图？,train,Knowledge Base
波段决策如何开启或关闭？,train,Knowledge Base
波段决策在流动性低的股票中是否失效？,train,Knowledge Base
三步战法如何结合财务指标（如分红派息率）进行价值投资？,train,Knowledge Base
多空资金的计算方法是什么？,train,Knowledge Base
小绿锁是否基于技术面或资金面分析？,train,Knowledge Base
如何在三步战法界面恢复被误删的均线或附图？,train,Knowledge Base
主力资金参数设置为几日最有效？,train,Knowledge Base
如何恢复多空资金默认设置？,train,Knowledge Base
武进不锈,train,Stock Diagnosis
华电国际的基本面好不好,train,Stock Diagnosis
回天新材连续6天都评级为3A，还不能入选近期最有潜力股票吗,train,Stock Diagnosis
分析一下002602,train,Stock Diagnosis
银河电子,train,Stock Diagnosis
东方明珠,train,Stock Diagnosis
分析一下易明医药,train,Stock Diagnosis
603248有上涨空间吗,train,Stock Diagnosis
帮我分析一下世纪华通,train,Stock Diagnosis
帮我分析一下002602,train,Stock Diagnosis
帮我分析一下中州新材,train,Stock Diagnosis
帮我分析一下300963,train,Stock Diagnosis
华胜天成表现怎样,train,Stock Diagnosis
中孚实业今天是洗盘吗,train,Stock Diagnosis
帮我分析一下招商南油,train,Stock Diagnosis
先锋电子,train,Stock Diagnosis
北斗星通可以持有吗,train,Stock Diagnosis
继续分析回天新材啊,train,Stock Diagnosis
帮我分析一下安泰集团,train,Stock Diagnosis
胜利精密,train,Stock Diagnosis
江顺科技,train,Stock Diagnosis
请问高德红外趋势,train,Stock Diagnosis
回力新材,train,Stock Diagnosis
回天新材,train,Stock Diagnosis
分析一下汉嘉设计,train,Stock Diagnosis
请问天挢起重趋势,train,Stock Diagnosis
帮我分析金岭矿业,train,Stock Diagnosis
帮我分析一下均胜电子,train,Stock Diagnosis
帮我分析常山北明,train,Stock Diagnosis
华映科技分析走势,train,Stock Diagnosis
帮我分析一下中际旭创？,train,Stock Diagnosis
帮我分析一下哈焊华通,train,Stock Diagnosis
请分析一下岩山科技,train,Stock Diagnosis
帮我分析一下天秦装备,train,Stock Diagnosis
分析吉比特,train,Stock Diagnosis
天下秀,train,Stock Diagnosis
京泉华,train,Stock Diagnosis
襄阳轴承,train,Stock Diagnosis
帮我分析一下克莱特个股,train,Stock Diagnosis
请帮我分析一下江苏索普,train,Stock Diagnosis
帮我分析一下国机重装,train,Stock Diagnosis
帮我分析一下天海防务,train,Stock Diagnosis
帮我分析中天科技,train,Stock Diagnosis
003039股票怎么样？,train,Stock Diagnosis
帮我分析紫金矿业,train,Stock Diagnosis
你好帮我分析一下荣联科技,train,Stock Diagnosis
高能股份怎么样,train,Stock Diagnosis
立讯精密能持有吗,train,Stock Diagnosis
帮我分析一下南京证券,train,Stock Diagnosis
帮我分析一下港通医疗,train,Stock Diagnosis
长信科技,train,Stock Diagnosis
光迅科技能持有吗,train,Stock Diagnosis
金凤科技,train,Stock Diagnosis
剑桥科技,train,Stock Diagnosis
高澜股份,train,Stock Diagnosis
江南新材怎么样？,train,Stock Diagnosis
分析一下金风科技,train,Stock Diagnosis
分析一下立讯精密,train,Stock Diagnosis
江南新才怎么样,train,Stock Diagnosis
分析一下紫金矿业。,train,Stock Diagnosis
工业富联怎么样，能持有吗,train,Stock Diagnosis
强力新材的经营与未来展望,train,Stock Diagnosis
太辰光,train,Stock Diagnosis
赛微电子怎么走,train,Stock Diagnosis
航天电子股怎么样,train,Stock Diagnosis
华工科技能持有吗,train,Stock Diagnosis
上海新阳,train,Stock Diagnosis
浙江东方分析一下,train,Stock Diagnosis
卧龙电驱,train,Stock Diagnosis
分析海泰发展,train,Stock Diagnosis
OAM∨怎么样了？,train,Stock Diagnosis
帮我分析一下翠微股份,train,Stock Diagnosis
天海防务的经营情况和公司展望,train,Stock Diagnosis
科创新源,train,Stock Diagnosis
帮我分析一下天利科技这只股票,train,Stock Diagnosis
分析深科技000021，并分析参股长鑫科技,train,Stock Diagnosis
分析一下江淮汽车,train,Stock Diagnosis
我想了解一下方正科技这只标的,train,Stock Diagnosis
宝信软件,train,Stock Diagnosis
分析朗迪股份,train,Stock Diagnosis
伊戈尔今天为什么下跌,train,Stock Diagnosis
300206怎么样,train,Stock Diagnosis
帮我分析一下聚灿光电这个股票,train,Stock Diagnosis
分析000021,train,Stock Diagnosis
分析深科技，并分析参股长鑫科技,train,Stock Diagnosis
分析朗迪集团,train,Stock Diagnosis
小爱给我分析一下东土科技，明天我是 23 的建仓 500 股，明天的话我该如何走，他们说他的 PE 偏高，我是不是有盈利就立马走呢,train,Stock Diagnosis
云天化,train,Stock Diagnosis
川恒股份,train,Stock Diagnosis
正业科技,train,Stock Diagnosis
300518怎么样,train,Stock Diagnosis
帮分析一下TCL科技的走势,train,Stock Diagnosis
601566值得入手吗,train,Stock Diagnosis
分析一下保信软件。,train,Stock Diagnosis
伊戈尔002922分析下,train,Stock Diagnosis
000880值得入手吗,train,Stock Diagnosis
该股是中国卫星互联网组件通信设备领域的龙头企业，构建了低轨星载，卫星组网激光通讯终端空天地一体化核心配套，技术卡位推动卫星通信业务大爆发,train,Stock Diagnosis
超频三产品竞争力分析,train,Stock Diagnosis
帮我分析一下科力远,train,Stock Diagnosis
高盟新材怎样？,train,Stock Diagnosis
603416值得入手吗,train,Stock Diagnosis
300223怎么样？,train,Stock Diagnosis
帮我分析一下中芯国际。,train,Stock Diagnosis
北方导航怎么样？,train,Stock Diagnosis
碳酸锂这几天期货价格有没有上涨,train,Stock Diagnosis
分析下大有能源,train,Stock Diagnosis
分析下东方电气,train,Stock Diagnosis
巨星科技帮我看看,train,Stock Diagnosis
通宇通讯今天触异动了吗,train,Stock Diagnosis
帮我分析一下北方华创。,train,Stock Diagnosis
分析一下国际复材,train,Stock Diagnosis
康辰药业值得入手吗,train,Stock Diagnosis
分析下神州信息,train,Stock Diagnosis
方正科技如何,train,Stock Diagnosis
帮我分析一下天奇股份。,train,Stock Diagnosis
中国中国船舶可不可以购买？,train,Stock Diagnosis
中科星图 中航机载 航天电器看好谁,train,Stock Diagnosis
帮我分析一下软通动力价格走势,train,Stock Diagnosis
赛腾股份如何？,train,Stock Diagnosis
帮我分析下持股,train,Stock Diagnosis
分析持仓股票行情走势,train,Stock Diagnosis
600221股票如何？,train,Stock Diagnosis
分析下华光环,train,Stock Diagnosis
分析下华光环能,train,Stock Diagnosis
帮我分析一下中际旭创,train,Stock Diagnosis
雅化集团今天早上开盘到收盘主力资金流出八仟万是出货还是震仓呢,train,Stock Diagnosis
超频三,train,Stock Diagnosis
帮我分析一下银轮股份。,train,Stock Diagnosis
分析持仓股票行情,train,Stock Diagnosis
海兰信可否持有,train,Stock Diagnosis
航天电子属于商业航天板块吗？,train,Stock Diagnosis
韩建河山,train,Stock Diagnosis
北磁,train,Stock Diagnosis
西部黄金,train,Stock Diagnosis
铎龙股份,train,Stock Diagnosis
胜利精密的发展和趋势,train,Stock Diagnosis
巨力索具算是商业航天概念吗？,train,Stock Diagnosis
分析下万向钱潮,train,Stock Diagnosis
帮我分析一下紫金矿业,train,Stock Diagnosis
锋龙股份为什么大涨？,train,Stock Diagnosis
袁喜保入手的票,train,Stock Diagnosis
帮我分析一下安泰科技。,train,Stock Diagnosis
中国卫星,train,Stock Diagnosis
神龙种业,train,Stock Diagnosis
帮我分析一下中航重机,train,Stock Diagnosis
众业达,train,Stock Diagnosis
300433走势风险和盈利,train,Stock Diagnosis
深科技,train,Stock Diagnosis
金凤科技基本情况,train,Stock Diagnosis
帮我分析一下金凤科技走势,train,Stock Diagnosis
渐富控股,train,Stock Diagnosis
分析一下乐山电力,train,Stock Diagnosis
阳谷华泰分析,train,Stock Diagnosis
600845涨停原因,train,Stock Diagnosis
格林美,train,Stock Diagnosis
航天科技今天涨停原因？,train,Stock Diagnosis
帮我分析汇隆新材,train,Stock Diagnosis
帮我分析侨源股份,train,Stock Diagnosis
硅宝科技,train,Stock Diagnosis
保变电气,train,Stock Diagnosis
硅宝科科技,train,Stock Diagnosis
指南针成交量,train,Stock Diagnosis
中天科技,train,Stock Diagnosis
值得买走势分析,train,Stock Diagnosis
帮我分析一下浦发银行,train,Stock Diagnosis
贵州茅台股票怎么样,train,Stock Diagnosis
同花顺如何,train,Stock Diagnosis
指南针如何,train,Stock Diagnosis
帮我分析一下三峡水利,train,Stock Diagnosis
比较一下指南针、同花顺和东方财富,train,Stock Diagnosis
帮分析一下300803,train,Stock Diagnosis
百货零售板块还有没有机会,train,Stock Diagnosis
比较一下指南针和同花顺,train,Stock Diagnosis
五一之后指南针会如何,train,Stock Diagnosis
岩山科技怎么样？,train,Stock Diagnosis
百花医药是否适合卖出？,train,Stock Diagnosis
扬电科技怎么样？,train,Stock Diagnosis
指南针股票最近走势如何,train,Stock Diagnosis
600800怎么样,train,Stock Diagnosis
得润电子怎么样？,train,Stock Diagnosis
指南针怎么样,train,Stock Diagnosis
300803怎么样,train,Stock Diagnosis
指南针最近一次财报显示的毛利率和净利率是否达标？追问“环比 / 同比变化趋势如何？,train,Stock Diagnosis
行业政策是否支持指南针公司所在领域？是否存在政策风险？,train,Stock Diagnosis
指南针股息率是否稳定？,train,Stock Diagnosis
公司负债水平是否健康？资产负债率和流动比率分别是多少？,train,Stock Diagnosis
行业竞争格局如何？指南针公司的市场份额是否有提升空间？,train,Stock Diagnosis
指南针公司近三年净利润增长率如何？是否有持续增长潜力？,train,Stock Diagnosis
指南针股票的市盈率（PE）是否合理？当前处于历史什么位置？,train,Stock Diagnosis
给我中国黄金基本面和资金面数据,train,Stock Diagnosis
美年健康是否有并购重组计划？标的资产质量如何？是否构成利好？,train,Stock Diagnosis
海德股份管理层是否有增持或减持行为？是否存在内部人交易信号？,train,Stock Diagnosis
汉邦科技公司最近是否发布业绩预告？预告内容是否超出市场预期？,train,Stock Diagnosis
九号公司是否有新产品或新技术发布？市场反响如何？,train,Stock Diagnosis
是否有知名基金经理公开推荐指南针股票？是否有权威机构发布买入评级,train,Stock Diagnosis
指南针最近三个月的成交量是否明显放大？追问“是否有资金吸筹迹象？,train,Stock Diagnosis
指南针股价是否突破了关键阻力位（如前期高点）？成交量是否配合？,train,Stock Diagnosis
东方日升RSI 指标是否处于超买或超卖区域？是否有背离信号？,train,Stock Diagnosis
长华化学短期（5 日、10 日）和长期（60 日、120 日）均线是否形成多头排列？,train,Stock Diagnosis
